Date,Booster,LaunchSite,PayloadMass,Orbit,LandingOutcome
FH 7,"July 29, 202303:04[140]",Falcon Heavy B5B1074 (core),"Kennedy, LC‑39A",Jupiter-3 (EchoStar-24)[141],"~9,200 kg (20,300 lb)"
243,"August 3, 202305:00[144]",F9 B5B1077‑6,"Cape Canaveral, SLC‑40",Galaxy 37,"~5,063 kg (11,162 lb)"
244,"August 7, 202302:41[149]",F9 B5B1078‑4,"Cape Canaveral, SLC‑40",Starlink: Group 6-8 (22 satellites),"~16,100 kg (35,500 lb)"
245,"August 8, 202303:57[150]",F9 B5B1075‑5,"Vandenberg, SLC‑4E",Starlink: Group 6-20 (15 satellites),"~12,000 kg (26,000 lb)"
246,"August 11, 202305:17[151]",F9 B5B1069‑9,"Cape Canaveral, SLC‑40",Starlink: Group 6-9 (22 satellites),"~16,100 kg (35,500 lb)"
247,"August 17, 202303:36[152]",F9 B5B1067‑13,"Cape Canaveral, SLC‑40",Starlink: Group 6-10 (22 satellites),"~16,100 kg (35,500 lb)"
248,"August 22, 202309:37[153]",F9 B5B1061‑15,"Vandenberg, SLC‑4E",Starlink: Group 7-1 (21 satellites),"~15,300 kg (33,700 lb)"
249,"August 26, 202307:27[154]",F9 B5B1081‑1[155],"Kennedy, LC‑39A",Crew-7[156] (Crew Dragon C210-3 Endurance),"~13,000 kg (29,000 lb)"
250,"August 27, 202301:05[158]",F9 B5B1080‑3,"Cape Canaveral, SLC‑40",Starlink: Group 6-11 (22 satellites),"~16,100 kg (35,500 lb)"
251,"September 1, 202302:21[159]",F9 B5B1077‑7,"Cape Canaveral, SLC‑40",Starlink: Group 6-13 (22 satellites),"~16,100 kg (35,500 lb)"
252,"September 2, 202302:21[160]14:25[161]",F9 B5B1063‑13,"Vandenberg, SLC‑4E",SDA Tranche 0B (13 satellites),Unknown
253,"September 4, 202302:47[162]",F9 B5B1073‑10,"Kennedy, LC‑39A",Starlink: Group 6-12 (22 satellites),"~15,300 kg (33,700 lb)"
254,"September 9, 202303:12[163]",F9 B5B1076‑7,"Cape Canaveral, SLC‑40",Starlink: Group 6-14 (22 satellites),"~16,100 kg (35,500 lb)"
255,"September 12, 202306:57[164]",F9 B5B1071‑11,"Vandenberg, SLC‑4E",Starlink: Group 7-2 (21 satellites),"~15,300 kg (33,700 lb)"
256,"September 16, 202303:38[165]",F9 B5B1078‑5,"Cape Canaveral, SLC‑40",Starlink: Group 6-16 (22 satellites),"~16,100 kg (35,500 lb)"
257,"September 20, 202303:38[168]",F9 B5B1058‑17,"Cape Canaveral, SLC‑40",Starlink: Group 6-17 (22 satellites),"~16,100 kg (35,500 lb)"
258,"September 24, 202303:38[169]",F9 B5B1060‑17,"Cape Canaveral, SLC‑40",Starlink: Group 6-18 (22 satellites),"~16,100 kg (35,500 lb)"
259,"September 25, 202308:48[170]",F9 B5B1075‑6,"Vandenberg, SLC‑4E",Starlink: Group 7-3 (21 satellites),"~15,300 kg (33,700 lb)"
260,"September 30, 202302:00[171]",F9 B5B1069‑10,"Cape Canaveral, SLC‑40",Starlink: Group 6-19 (22 satellites),"~16,100 kg (35,500 lb)"
261,"October 5, 202305:36[172]",F9 B5B1076‑8,"Cape Canaveral, SLC‑40",Starlink: Group 6-21 (22 satellites),"~16,100 kg (35,500 lb)"
262,"October 9, 202307:23[173]",F9 B5B1063‑14,"Vandenberg, SLC‑4E",Starlink: Group 7-4 (21 satellites),"~15,300 kg (33,700 lb)"
FH 8,"October 13, 202314:19[174]",Falcon Heavy B5B1079 (core)[175],"Kennedy, LC‑39A",Psyche[176],"~2,608 kg (5,750 lb)"
263,"October 13, 202323:01[179]",F9 B5B1067‑14,"Cape Canaveral, SLC‑40",Starlink: Group 6-22 (22 satellites),"~16,100 kg (35,500 lb)"
264,"October 18, 202300:39[180]",F9 B5B1062‑16,"Cape Canaveral, SLC‑40",Starlink: Group 6-23 (22 satellites),"~16,100 kg (35,500 lb)"
265,"October 21, 202308:23[181]",F9 B5B1061‑16,"Vandenberg, SLC‑4E",Starlink: Group 7-5 (21 satellites),"~15,300 kg (33,700 lb)"
266,"October 22, 202302:17[182]",F9 B5B1080‑4,"Cape Canaveral, SLC‑40",Starlink: Group 6-24 (23 satellites),"~16,800 kg (37,000 lb)"
267,"October 29, 202309:00[183]",F9 B5B1075‑7,"Vandenberg, SLC‑4E",Starlink: Group 7-6 (22 satellites),"~16,100 kg (35,500 lb)"
268,"October 30, 202323:20[184]",F9 B5B1077‑8,"Cape Canaveral, SLC‑40",Starlink: Group 6-25 (23 satellites),"~16,800 kg (37,000 lb)"
269,"November 4, 202300:37[185]",F9 B5B1058‑18,"Cape Canaveral, SLC‑40",Starlink: Group 6-26 (23 satellites),"~16,800 kg (37,000 lb)"
270,"November 8, 202305:05[186]",F9 B5B1073‑11,"Cape Canaveral, SLC‑40",Starlink: Group 6-27 (23 satellites),"~16,800 kg (37,000 lb)"
271,"November 10, 202301:28[187]",F9 B5B1081‑2,"Kennedy, LC‑39A",SpaceX CRS-29 (Dragon C211-2),"~9,525 kg (20,999 lb)"
272,"November 11, 202318:49[189]",F9 B5B1071‑12,"Vandenberg, SLC‑4E",Transporter-9 (113 payload smallsat rideshare),Unknown[j]
273,"November 12, 202321:08[191]",F9 B5B1076‑9,"Cape Canaveral, SLC‑40",O3b mPOWER 5 & 6,"~4,100 kg (9,000 lb)"
274,"November 18, 202305:05[192]",F9 B5B1069‑11,"Cape Canaveral, SLC‑40",Starlink: Group 6-28 (23 satellites),"~16,800 kg (37,000 lb)"
275,"November 20, 202310:30[193]",F9 B5B1063‑15,"Vandenberg, SLC‑4E",Starlink: Group 7-7 (22 satellites),"~16,100 kg (35,500 lb)"
276,"November 22, 202307:47[194]",F9 B5B1067‑15,"Cape Canaveral, SLC‑40",Starlink: Group 6-29 (23 satellites),"~16,800 kg (37,000 lb)"
277,"November 28, 202304:20[195]",F9 B5B1062‑17,"Cape Canaveral, SLC‑40",Starlink: Group 6-30 (23 satellites),"~16,800 kg (37,000 lb)"
278,"December 1, 202318:19[196]",F9 B5B1061‑17,"Vandenberg, SLC‑4E",425 Project satellite[197]EIRSAT-1 and others 23 secondary payloads[198],"~800 kg (1,800 lb)(main satellite)"
279,"December 3, 202304:00[200]",F9 B5B1078‑6,"Cape Canaveral, SLC‑40",Starlink: Group 6-31 (23 satellites),"~16,800 kg (37,000 lb)"
280,"December 7, 202305:07[201]",F9 B5B1077‑9,"Cape Canaveral, SLC‑40",Starlink: Group 6-33 (23 satellites),"~16,800 kg (37,000 lb)"
281,"December 8, 202308:03[202]",F9 B5B1071‑13,"Vandenberg, SLC‑4E",Starlink: Group 7-8 (22 satellites),"~16,100 kg (35,500 lb)"
282,"December 19, 202304:01[206]",F9 B5B1081‑3,"Cape Canaveral, SLC‑40",Starlink: Group 6-34 (23 satellites),"~16,800 kg (37,000 lb)"
283,"December 23, 202305:33[207]",F9 B5B1058‑19,"Cape Canaveral, SLC‑40",Starlink: Group 6-32 (23 satellites),"~16,800 kg (37,000 lb)"
284,"December 24, 202313:11[209]",F9 B5B1075‑8,"Vandenberg, SLC‑4E",SARah 2 & 3[210],"~3,600 kg (7,900 lb)"
FH 9,"December 29, 202301:07[212]",Falcon Heavy B5 B1084 (core)[213],"Kennedy, LC‑39A",USSF-52 (Boeing X-37B OTV-7),"6,350 kg (14,000 lb)+ OTV payload"
285,"December 29, 202304:01[220]",F9 B5B1069‑12,"Cape Canaveral, SLC‑40",Starlink: Group 6-36 (23 satellites),"~16,800 kg (37,000 lb)"
286,"January 3, 202403:44[228]",F9 B5B1082‑1,"Vandenberg, SLC‑4E",Starlink: Group 7-9 (22 satellites),"~16,800 kg (37,000 lb)"
287,"January 3, 202423:04[229]",F9 B5B1076‑10,"Cape Canaveral, SLC‑40",Ovzon-3,"1,800 kg (4,000 lb)"
288,"January 7, 202422:35[233]",F9 B5B1067‑16,"Cape Canaveral, SLC‑40",Starlink: Group 6-35 (23 satellites),"~17,100 kg (37,700 lb)"
289,"January 14, 202408:59[235]",F9 B5B1061‑18,"Vandenberg, SLC‑4E",Starlink: Group 7-10 (22 satellites),"~16,700 kg (36,800 lb)"
290,"January 15, 202401:52[236]",F9 B5B1073‑12,"Cape Canaveral, SLC‑40",Starlink: Group 6-37 (23 satellites),"~17,100 kg (37,700 lb)"
291,"January 18, 202421:49[239]",F9 B5B1080‑5,"Kennedy, LC‑39A",Ax-3 (Crew Dragon C212-3 Freedom),"~13,000 kg (29,000 lb)"
292,"January 24, 202400:35[242]",F9 B5B1063‑16,"Vandenberg, SLC‑4E",Starlink: Group 7-11 (22 satellites),"~16,700 kg (36,800 lb)"
293,"January 29, 202401:10[243]",F9 B5B1062‑18,"Kennedy, LC‑39A",Starlink: Group 6-38 (23 satellites),"~17,100 kg (37,700 lb)"
294,"January 29, 202405:57[244]",F9 B5B1075‑9,"Vandenberg, SLC‑4E",Starlink: Group 7-12 (22 satellites),"~16,700 kg (36,800 lb)"
295,"January 30, 202417:07[245]",F9 B5B1077‑10,"Cape Canaveral, SLC‑40",CRS NG-20,"3,726 kg (8,214 lb)"
296,"February 8, 202406:33[248]",F9 B5B1081‑4,"Cape Canaveral, SLC‑40",PACE,"1,694 kg (3,735 lb)"
297,"February 10, 202400:34[250]",F9 B5B1071‑14,"Vandenberg, SLC‑4E",Starlink: Group 7-13 (22 satellites),"~16,700 kg (36,800 lb)"
298,"February 14, 202422:30[251]",F9 B5B1078‑7,"Cape Canaveral, SLC‑40",USSF-124 (6 satellites),Unknown
299,"February 15, 202406:05[253]",F9 B5B1060‑18,"Kennedy, LC‑39A",IM-1 Nova-C Odysseus lander,"1,931 kg (4,257 lb)"
300,"February 15, 202421:34[258]",F9 B5B1082‑2,"Vandenberg, SLC‑4E",Starlink: Group 7-14 (22 satellites),"~16,700 kg (36,800 lb)"
301,"February 20, 202420:11[260]",F9 B5B1067‑17,"Cape Canaveral, SLC‑40",Telkomsat HTS 113BT,"4,000 kg (8,800 lb)"
302,"February 23, 202404:11[262]",F9 B5B1061‑19,"Vandenberg, SLC‑4E",Starlink: Group 7-15 (22 satellites),"~16,700 kg (36,800 lb)"
303,"February 25, 202422:06[264]",F9 B5B1069‑13,"Cape Canaveral, SLC‑40",Starlink: Group 6-39 (24 satellites),"~17,500 kg (38,600 lb)"
304,"February 29, 202415:30[266]",F9 B5B1076‑11,"Cape Canaveral, SLC‑40",Starlink: Group 6-40 (23 satellites),"~17,100 kg (37,700 lb)"
305,"March 4, 202403:53[267]",F9 B5B1083‑1,"Kennedy, LC‑39A",Crew-8 (Crew Dragon C206-5 Endeavour),"~13,000 kg (29,000 lb)"
306,"March 4, 202422:05[269]",F9 B5B1081‑5,"Vandenberg, SLC‑4E",Transporter-10 (53 payload smallsat rideshare),Unknown[j]
307,"March 4, 202423:56[272]",F9 B5B1073‑13,"Cape Canaveral, SLC‑40",Starlink: Group 6-41 (23 satellites),"~17,100 kg (37,700 lb)"
308,"March 10, 202423:05[274]",F9 B5B1077‑11,"Cape Canaveral, SLC‑40",Starlink: Group 6-43 (23 satellites),"~17,100 kg (37,700 lb)"
309,"March 11, 202404:09[275]",F9 B5B1063‑17,"Vandenberg, SLC‑4E",Starlink: Group 7-17 (23 satellites),"~17,100 kg (37,700 lb)"
310,"March 16, 202400:21[276]",F9 B5B1062‑19,"Kennedy, LC‑39A",Starlink: Group 6-44 (23 satellites),"~17,100 kg (37,700 lb)"
311,"March 19, 202402:28[277]",F9 B5B1075‑10,"Vandenberg, SLC‑4E",Starlink: Group 7-16 (20 satellites) + 2 Starshield satellites,"~16,300 kg (35,900 lb)(Starlink)"
312,"March 21, 202420:55[280]",F9 B5B1080‑6,"Cape Canaveral, SLC‑40",SpaceX CRS-30 (Dragon C209-4),"2,721 kg (5,999 lb)"
313,"March 24, 202403:09[282]",F9 B5B1060‑19,"Kennedy, LC‑39A",Starlink: Group 6-42 (23 satellites),"~17,100 kg (37,700 lb)"
314,"March 25, 202423:42[283]",F9 B5B1078‑8,"Cape Canaveral, SLC‑40",Starlink: Group 6-46 (23 satellites),"~17,100 kg (37,700 lb)"
315,"March 30, 202421:52[285]",F9 B5B1076‑12,"Kennedy, LC‑39A",Eutelsat 36D,"5,000 kg (11,000 lb)"
316,"March 31, 202401:30[286]",F9 B5B1067‑18,"Cape Canaveral, SLC‑40",Starlink: Group 6-45 (23 satellites),"~17,100 kg (37,700 lb)"
317,"April 2, 202402:30[287]",F9 B5B1071‑15,"Vandenberg, SLC‑4E",Starlink: Group 7-18 (22 satellites),"~16,700 kg (36,800 lb)"
318,"April 5, 202409:12[288]",F9 B5B1069‑14,"Cape Canaveral, SLC‑40",Starlink: Group 6-47 (23 satellites),"~17,100 kg (37,700 lb)"
319,"April 7, 202402:25[289]",F9 B5B1081‑6,"Vandenberg, SLC‑4E",Starlink: Group 8-1 (21 satellites),"~16,800 kg (37,000 lb)"
320,"April 7, 202423:16[290]",F9 B5B1073‑14,"Kennedy, LC‑39A",Bandwagon-1 (11 payload smallsat rideshare),Unknown[j]
321,"April 10, 202405:40[292]",F9 B5B1083‑2,"Cape Canaveral, SLC‑40",Starlink: Group 6-48 (23 satellites),"~17,100 kg (37,700 lb)"
322,"April 11, 202414:25[293]",F9 B5B1082‑3,"Vandenberg, SLC‑4E",USSF-62 (WSF-M 1),"1,200 kg (2,600 lb)"
323,"April 13, 202401:40[295]",F9 B5B1062‑20,"Cape Canaveral, SLC‑40",Starlink: Group 6-49 (23 satellites),"~17,100 kg (37,700 lb)"
324,"April 17, 202421:26[296]",F9 B5B1077‑12,"Kennedy, LC‑39A",Starlink: Group 6-51 (23 satellites),"~17,100 kg (37,700 lb)"
325,"April 18, 202422:40[297]",F9 B5B1080‑7,"Cape Canaveral, SLC‑40",Starlink: Group 6-52 (23 satellites),"~17,100 kg (37,700 lb)"
326,"April 23, 202422:17[298]",F9 B5B1078‑9,"Cape Canaveral, SLC‑40",Starlink: Group 6-53 (23 satellites),"~17,100 kg (37,700 lb)"
327,"April 28, 202400:34[300]",F9 B5B1060‑20,"Kennedy, LC‑39A",Galileo-L12 (FOC FM25 & FM27),"1,600 kg (3,500 lb)"
328,"April 28, 202422:08[301]",F9 B5B1076‑13,"Cape Canaveral, SLC‑40",Starlink: Group 6-54 (23 satellites),"~17,100 kg (37,700 lb)"
329,"May 2, 202418:36[302]",F9 B5B1061‑20,"Vandenberg, SLC‑4E",WorldView Legion 1 & 2,"1,500 kg (3,300 lb)"
330,"May 3, 202402:37[304]",F9 B5B1067‑19,"Cape Canaveral, SLC‑40",Starlink: Group 6-55 (23 satellites),"~17,100 kg (37,700 lb)"
331,"May 6, 202418:14[305]",F9 B5B1069‑15,"Cape Canaveral, SLC‑40",Starlink: Group 6-57 (23 satellites),"~17,100 kg (37,700 lb)"
332,"May 8, 202418:42[306]",F9 B5B1083‑3,"Kennedy, LC‑39A",Starlink: Group 6-56 (23 satellites),"~17,100 kg (37,700 lb)"
333,"May 10, 202404:30[307]",F9 B5B1082‑4,"Vandenberg, SLC‑4E",Starlink: Group 8-2 (20 satellites),"~16,300 kg (35,900 lb)"
334,"May 13, 202400:53[308]",F9 B5B1073‑15,"Cape Canaveral, SLC‑40",Starlink: Group 6-58 (23 satellites),"~17,100 kg (37,700 lb)"
335,"May 14, 202418:39[309]",F9 B5B1063‑18,"Vandenberg, SLC‑4E",Starlink: Group 8-7 (20 satellites),"~16,300 kg (35,900 lb)"
336,"May 18, 202400:32[310]",F9 B5B1062‑21,"Cape Canaveral, SLC‑40",Starlink: Group 6-59 (23 satellites),"~17,100 kg (37,700 lb)"
337,"May 22, 202408:00[311]",F9 B5B1071‑16,"Vandenberg, SLC‑4E",NROL-146 (21 Starshield satellites),Unknown
338,"May 23, 202402:35[314]",F9 B5B1080‑8,"Cape Canaveral, SLC‑40",Starlink: Group 6-62 (23 satellites),"~17,100 kg (37,700 lb)"
339,"May 24, 202402:45[315]",F9 B5B1077‑13,"Kennedy, LC‑39A",Starlink: Group 6-63 (23 satellites),"~17,100 kg (37,700 lb)"
340,"May 28, 202414:24[316]",F9 B5B1078‑10,"Cape Canaveral, SLC‑40",Starlink: Group 6-60 (23 satellites),"~17,100 kg (37,700 lb)"
341,"May 28, 202422:20[317]",F9 B5B1081‑7,"Vandenberg, SLC‑4E",EarthCARE,"2,350 kg (5,180 lb)"
342,"June 1, 202402:37[319]",F9 B5B1076‑14,"Cape Canaveral, SLC‑40",Starlink: Group 6-64 (23 satellites),"~17,100 kg (37,700 lb)"
343,"June 5, 202402:16[321]",F9 B5B1067‑20,"Cape Canaveral, SLC‑40",Starlink: Group 8-5 (20 satellites),"~16,300 kg (35,900 lb)"
344,"June 8, 202401:56[322]",F9 B5B1069‑16,"Cape Canaveral, SLC‑40",Starlink: Group 10-1 (22 satellites),"~16,700 kg (36,800 lb)"
345,"June 8, 202412:58[323]",F9 B5B1061‑21,"Vandenberg, SLC‑4E",Starlink: Group 8-8 (20 satellites),"~16,300 kg (35,900 lb)"
346,"June 19, 202403:40[324]",F9 B5B1082‑5,"Vandenberg, SLC‑4E",Starlink: Group 9-1 (20 satellites),"~16,300 kg (35,900 lb)"
347,"June 20, 202421:35[325]",F9 B5B1080‑9,"Cape Canaveral, SLC‑40",Astra 1P,"5,000 kg (11,000 lb)"
348,"June 23, 202417:15[326]",F9 B5B1078‑11,"Cape Canaveral, SLC‑40",Starlink: Group 10-2 (22 satellites),"~16,700 kg (36,800 lb)"
349,"June 24, 202403:47[328]",F9 B5B1075‑11,"Vandenberg, SLC‑4E",Starlink: Group 9-2 (20 satellites),"~16,300 kg (35,900 lb)"
FH 10,"June 25, 202421:26[329]",Falcon Heavy B5B1087 (core),"Kennedy, LC‑39A",GOES-U (GOES-19)[330],"5,000 kg (11,000 lb)"
350,"June 27, 202411:14[332]",F9 B5B1062‑22,"Cape Canaveral, SLC‑40",Starlink: Group 10-3 (23 satellites),"~17,100 kg (37,700 lb)"
351,"June 29, 202403:14[333]",F9 B5B1081‑8,"Vandenberg, SLC‑4E",NROL-186 (~21 Starshield satellites),Unknown
352,"July 3, 202408:55[334]",F9 B5B1073‑16,"Cape Canaveral, SLC‑40",Starlink: Group 8-9 (20 satellites),"~16,300 kg (35,900 lb)"
353,"July 8, 202423:30[335]",F9 B5B1076‑15,"Cape Canaveral, SLC‑40",Türksat 6A,"4,250 kg (9,370 lb)"
354,"July 12, 202402:35[337]",F9 B5B1063‑19,"Vandenberg, SLC‑4E",Starlink: Group 9-3 (20 satellites),"~16,300 kg (35,900 lb)"
355,"July 27, 202405:45[345]",F9 B5B1069‑17,"Kennedy, LC‑39A",Starlink: Group 10-9 (23 satellites),"~17,100 kg (37,700 lb)"
356,"July 28, 202405:09[346]",F9 B5B1077‑14,"Cape Canaveral, SLC‑40",Starlink: Group 10-4 (23 satellites),"~17,100 kg (37,700 lb)"
357,"July 28, 202409:22[346]",F9 B5B1071‑17,"Vandenberg, SLC‑4E",Starlink: Group 9-4 (21 satellites),"~16,500 kg (36,400 lb)"
358,"August 2, 202405:01[347]",F9 B5B1078‑12,"Kennedy, LC‑39A",Starlink: Group 10-6 (23 satellites),"~17,100 kg (37,700 lb)"
359,"August 4, 202407:24[348]",F9 B5B1082‑6,"Vandenberg, SLC‑4E",Starlink: Group 11-1 (23 satellites),"~17,100 kg (37,700 lb)"
360,"August 4, 202415:02[349]",F9 B5B1080‑10,"Cape Canaveral, SLC‑40",CRS NG-21,"3,857 kg (8,503 lb)"
361,"August 10, 202412:50[350]",F9 B5B1067‑21,"Cape Canaveral, SLC‑40",Starlink: Group 8-3 (21 satellites),"~16,500 kg (36,400 lb)"
